timestamp,store_name,customer_name,total_price,payment_method,card_number
25/08/2021 09:00,Chesterfield,Richard Copeland,5.2,CARD,5494173772652516
25/08/2021 09:02,Chesterfield,Scott Owens,17.3,CARD,6844802140812058
25/08/2021 09:04,Chesterfield,Francis Strayhorn,4.6,CARD,9.55710412818248E+015
25/08/2021 09:06,Chesterfield,Rodney Drake,5,CARD,2978328181139200
25/08/2021 09:08,Chesterfield,Michael Sparrow,4.6,CASH,
25/08/2021 09:10,Chesterfield,Thomas Register,12.95,CASH,
25/08/2021 09:12,Chesterfield,James Petrick,17.4,CARD,5309043196155793
25/08/2021 09:14,Chesterfield,Ronald Hagy,13.55,CARD,1166596230622281
25/08/2021 09:17,Chesterfield,Lashawn Fant,12.55,CARD,8790558408553080
25/08/2021 09:19,Chesterfield,James Folsom,5.3,CARD,8722919802559202
25/08/2021 09:21,Chesterfield,Tina Burke,13.05,CASH,
25/08/2021 09:23,Chesterfield,Robyn Baker,2.15,CARD,4284401097585380
25/08/2021 09:25,Chesterfield,Leonard Saari,10.3,CARD,4819037257071438
25/08/2021 09:27,Chesterfield,Eleanor Schreyer,12.55,CARD,3813596725308974
25/08/2021 09:29,Chesterfield,Heather Patel,7.65,CARD,2751738614086036
25/08/2021 09:32,Chesterfield,Lucinda Hutchings,5.7,CARD,5739796916878586
25/08/2021 09:34,Chesterfield,Brenda Park,2.15,CASH,
25/08/2021 09:36,Chesterfield,Francis Koenen,12.55,CASH,
25/08/2021 09:38,Chesterfield,Viola Blanco,6,CASH,
25/08/2021 09:40,Chesterfield,David Anna,10.7,CASH,
25/08/2021 09:42,Chesterfield,Carol Sutton,4.9,CARD,7071316596754177
25/08/2021 09:44,Chesterfield,Charlotte Ames,4.9,CARD,5944424224738186
25/08/2021 09:46,Chesterfield,William Alberding,7.45,CARD,1868033783180050
25/08/2021 09:49,Chesterfield,Audie King,8.45,CARD,2079081656201265
25/08/2021 09:51,Chesterfield,Thomas Carl,2.15,CARD,1979954668514674
25/08/2021 09:53,Chesterfield,Susan Vinyard,6.75,CASH,
25/08/2021 09:55,Chesterfield,Abraham Brantley,5.7,CARD,8010139668453595
25/08/2021 09:57,Chesterfield,Benjamin Asquith,15.2,CARD,4797344809392910
25/08/2021 09:59,Chesterfield,Ann Lane,15.9,CASH,
25/08/2021 10:01,Chesterfield,Bradley Maynard,6.75,CARD,4681963607141220
25/08/2021 10:02,Chesterfield,Diane Hunter,15.9,CARD,8946278855936834
25/08/2021 10:03,Chesterfield,Sandra Stanislawski,6.5,CASH,
25/08/2021 10:04,Chesterfield,Anita Johnson,15.6,CASH,
25/08/2021 10:05,Chesterfield,Glenn Barreto,7.65,CARD,5824939110069634
25/08/2021 10:06,Chesterfield,Candy Polcovich,8.95,CARD,6695115797284120
25/08/2021 10:07,Chesterfield,Jeffery Coen,8.55,CARD,5540161860517772
25/08/2021 10:08,Chesterfield,Carolyn Walraven,9.8,CARD,3794741301153029
25/08/2021 10:09,Chesterfield,Linda Corella,5.5,CARD,7507487909772622
25/08/2021 10:10,Chesterfield,James Bernat,5.4,CASH,
25/08/2021 10:11,Chesterfield,Donald Wilson,2.75,CARD,9.19246381067821E+015
25/08/2021 10:12,Chesterfield,Harriet Keller,12.5,CARD,2533969787271217
25/08/2021 10:13,Chesterfield,Jessica Heath,5.4,CASH,
25/08/2021 10:14,Chesterfield,Brian Pagano,5.2,CARD,4659802253815677
25/08/2021 10:15,Chesterfield,Brett Gambino,5.3,CARD,7488697733607874
25/08/2021 10:16,Chesterfield,Jill Jackson,7.75,CASH,
25/08/2021 10:17,Chesterfield,Kate Johnson,11.6,CASH,
25/08/2021 10:18,Chesterfield,Ralph Reed,7.75,CARD,4816246893705392
25/08/2021 10:19,Chesterfield,Ruth Mitchell,6.5,CASH,
25/08/2021 10:20,Chesterfield,Nathaniel Mannings,10.2,CASH,
25/08/2021 10:21,Chesterfield,Paul Peters,3.25,CASH,
25/08/2021 10:22,Chesterfield,Latanya Gallardo,7.75,CARD,1540181475032314
25/08/2021 10:23,Chesterfield,Larry Watkins,14.15,CASH,
25/08/2021 10:24,Chesterfield,Nancy James,4.9,CARD,5022266229070435
25/08/2021 10:25,Chesterfield,Eileen Southwell,9.5,CARD,4495822945393031
25/08/2021 10:26,Chesterfield,Tracy Pestana,9.9,CARD,9.98295049528121E+015
25/08/2021 10:27,Chesterfield,Annie Davis,2.85,CARD,6344521574846636
25/08/2021 10:27,Chesterfield,Donald Grant,6.5,CARD,8758449462779114
25/08/2021 10:28,Chesterfield,Paul Dean,5,CASH,
25/08/2021 10:29,Chesterfield,Walter Taylor,2.75,CARD,3257568305255210
25/08/2021 10:30,Chesterfield,Leslie Kirk,5.8,CARD,1033079679767113
25/08/2021 10:31,Chesterfield,Kent Carriger,8.15,CASH,
25/08/2021 10:32,Chesterfield,Marcelo Simmons,2.15,CARD,6182844058565928
25/08/2021 10:33,Chesterfield,Isaac Sun,10,CASH,
25/08/2021 10:34,Chesterfield,Bradley Thompson,10.7,CARD,4989983143905316
25/08/2021 10:35,Chesterfield,Donald Gresham,6.85,CARD,3165772397749111
25/08/2021 10:36,Chesterfield,Dawn Potter,7.45,CASH,
25/08/2021 10:37,Chesterfield,Donna Metz,7.15,CARD,5119596440948241
25/08/2021 10:38,Chesterfield,Irma Forbes,11,CARD,8300057156805618
25/08/2021 10:39,Chesterfield,Vicky Rayborn,9.8,CARD,1122959171116248
25/08/2021 10:40,Chesterfield,John Koenig,7.95,CARD,2870471496242245
25/08/2021 10:41,Chesterfield,Ruth Coleman,9.05,CASH,
25/08/2021 10:42,Chesterfield,Ralph Sippel,5.4,CARD,9.44002102663859E+015
25/08/2021 10:43,Chesterfield,Raymond Oliveras,11,CARD,1711251413159276
25/08/2021 10:44,Chesterfield,Corey Culp,5.7,CARD,1306371291788903
25/08/2021 10:45,Chesterfield,Henry Sedgwick,5.7,CASH,
25/08/2021 10:46,Chesterfield,Nathan Li,8.35,CARD,3648254680030729
25/08/2021 10:47,Chesterfield,Glenda Kay,2.85,CARD,5627948457030299
25/08/2021 10:48,Chesterfield,Alberta Patterson,3.25,CASH,
25/08/2021 10:49,Chesterfield,Michael Morita,8.25,CARD,7768893046965408
25/08/2021 10:50,Chesterfield,Christopher Garcia,16,CARD,5607664110752102
25/08/2021 10:51,Chesterfield,Paula Grein,3.25,CARD,2047828799313251
25/08/2021 10:52,Chesterfield,Michael Brice,10.1,CASH,
25/08/2021 10:53,Chesterfield,Lillian Mclarney,11.3,CARD,4384939029595501
25/08/2021 10:54,Chesterfield,Julius Meredith,5.7,CARD,7052197684557619
25/08/2021 10:55,Chesterfield,Dana Wright,13.15,CARD,6083529347037922
25/08/2021 10:56,Chesterfield,Frankie Ivy,15.3,CASH,
25/08/2021 10:56,Chesterfield,Clifford Vichidvongsa,7.55,CARD,6708760881396604
25/08/2021 10:57,Chesterfield,Justin Adkins,16.3,CARD,5468199414269508
25/08/2021 10:58,Chesterfield,Melanie Acker,5.7,CASH,
25/08/2021 10:59,Chesterfield,Gregory Cumiskey,10.9,CASH,
25/08/2021 11:00,Chesterfield,Thomas Moore,8.15,CARD,6183486734228071
25/08/2021 11:03,Chesterfield,Patricia Salas,2.45,CARD,3588949975835307
25/08/2021 11:06,Chesterfield,Heather Peterson,12.05,CASH,
25/08/2021 11:08,Chesterfield,Angela Johnson,2.45,CARD,4034572784059310
25/08/2021 11:11,Chesterfield,Leana Zerhusen,8.45,CASH,
25/08/2021 11:13,Chesterfield,Patti Cyr,16.1,CARD,5721093912380090
